ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,PRI_PVEM_NA,PRI_NA,PVEM_NA,CAN_IND,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,
5,ACAPULCO DE JUAREZ,164,C1,27,72,84,15,6,23,5,6,4,2,0,,0,,,,,0,17,261,714,36.55%,,
5,ACAPULCO DE JUAREZ,164,C2,28,62,64,9,10,34,3,2,0,2,2,,2,,,,,0,19,237,713,33.24%,,
5,ACAPULCO DE JUAREZ,164,C3,30,66,100,0,0,32,8,3,1,2,7,,0,,,,,0,0,249,713,34.92%,,
5,ACAPULCO DE JUAREZ,164,C4,28,74,86,9,8,29,3,6,0,0,0,,0,,,,,0,19,262,713,36.75%,,
5,ACAPULCO DE JUAREZ,164,C5,22,63,88,0,7,40,1,5,2,1,3,,0,,,,,0,12,244,713,34.22%,,
5,ACAPULCO DE JUAREZ,165,B,55,59,113,8,5,22,4,6,1,2,3,,6,,,,,0,13,297,746,39.81%,,
5,ACAPULCO DE JUAREZ,165,C1,39,56,123,5,9,18,1,4,0,3,5,,7,,,,,0,22,292,746,39.14%,,
5,ACAPULCO DE JUAREZ,165,C2,43,69,120,10,5,20,5,7,3,4,3,,5,,,,,0,28,322,746,43.16%,,
5,ACAPULCO DE JUAREZ,169,B,47,58,88,20,6,35,5,0,0,1,0,,8,,,,,1,6,275,606,45.38%,,
5,ACAPULCO DE JUAREZ,169,C1,36,46,96,14,10,30,8,3,2,4,3,,2,,,,,0,16,270,605,44.63%,,
5,ACAPULCO DE JUAREZ,170,B,47,89,66,2,9,22,6,2,1,0,1,,3,,,,,1,6,255,606,42.08%,,
5,ACAPULCO DE JUAREZ,170,C1,60,68,58,2,5,17,4,6,3,1,1,,5,,,,,0,24,254,605,41.98%,,
5,ACAPULCO DE JUAREZ,171,B,39,103,71,0,5,29,6,8,2,0,0,,0,,,,,0,20,283,574,49.30%,,
5,ACAPULCO DE JUAREZ,171,C1,30,113,69,69,12,24,8,4,2,2,1,,69,,,,,0,21,424,574,73.87%,,
5,ACAPULCO DE JUAREZ,171,C2,38,74,62,8,10,27,4,13,2,3,2,,7,,,,,0,16,266,573,46.42%,,
5,ACAPULCO DE JUAREZ,191,B,44,60,88,6,9,10,3,10,2,2,0,,0,,,,,0,8,242,587,41.23%,,
5,ACAPULCO DE JUAREZ,191,C1,50,54,76,4,14,14,3,5,2,4,0,,5,,,,,0,12,243,586,41.47%,,
5,ACAPULCO DE JUAREZ,192,B,57,71,85,23,21,29,4,13,3,11,3,,4,,,,,0,15,339,731,46.37%,,
5,ACAPULCO DE JUAREZ,192,C1,62,56,93,16,20,32,12,5,2,3,3,,5,,,,,0,8,317,730,43.42%,,
5,ACAPULCO DE JUAREZ,192,C2,31,86,82,10,14,30,22,7,3,16,4,,0,,,,,1,12,318,730,43.56%,,
5,ACAPULCO DE JUAREZ,195,B,28,37,54,8,11,13,2,1,1,0,4,,3,,,,,4,13,179,449,39.87%,,
5,ACAPULCO DE JUAREZ,195,C1,28,25,66,13,9,20,0,4,0,1,1,,3,,,,,0,7,177,449,39.42%,,
5,ACAPULCO DE JUAREZ,196,B,54,37,43,1,18,15,6,3,1,2,0,,0,,,,,0,19,199,511,38.94%,,
5,ACAPULCO DE JUAREZ,196,C1,47,22,46,7,20,23,6,5,2,3,1,,4,,,,,0,12,198,510,38.82%,,
5,ACAPULCO DE JUAREZ,197,B,39,42,79,3,10,25,1,7,1,4,0,,2,,,,,0,10,223,619,36.03%,,
5,ACAPULCO DE JUAREZ,197,C1,32,51,80,1,8,37,0,2,0,1,3,,4,,,,,0,9,228,618,36.89%,,
5,ACAPULCO DE JUAREZ,221,B,63,67,51,0,16,18,2,8,2,2,3,,0,,,,,0,15,247,561,44.03%,,
5,ACAPULCO DE JUAREZ,221,C1,68,77,55,12,20,17,1,4,2,1,5,,2,,,,,0,15,279,560,49.82%,,
5,ACAPULCO DE JUAREZ,222,B,25,30,48,0,15,24,1,3,3,3,2,,0,,,,,0,11,165,393,41.98%,,
5,ACAPULCO DE JUAREZ,222,C1,26,33,66,0,11,6,2,2,0,5,3,,68,,,,,0,7,229,392,58.42%,,
5,ACAPULCO DE JUAREZ,223,B,55,50,65,23,7,15,3,7,1,3,0,,6,,,,,0,11,246,535,45.98%,,
5,ACAPULCO DE JUAREZ,223,C1,50,39,44,34,11,18,4,10,1,3,0,,6,,,,,0,5,225,535,42.06%,,
5,ACAPULCO DE JUAREZ,223,C2,50,41,51,26,1,12,4,5,0,3,0,,5,,,,,0,15,213,535,39.81%,,
5,ACAPULCO DE JUAREZ,224,B,64,67,63,14,11,20,2,8,2,4,7,,4,,,,,0,21,287,620,46.29%,,
5,ACAPULCO DE JUAREZ,224,C1,69,53,40,10,14,15,3,11,0,2,5,,3,,,,,0,23,248,620,40.00%,,
5,ACAPULCO DE JUAREZ,224,C2,87,43,81,14,15,15,3,5,1,1,2,,5,,,,,1,12,285,620,45.97%,,
5,ACAPULCO DE JUAREZ,225,B,30,48,49,11,11,12,2,5,2,1,3,,5,,,,,1,12,192,504,38.10%,,
5,ACAPULCO DE JUAREZ,225,C1,35,60,62,11,6,14,1,7,0,2,2,,6,,,,,0,9,215,503,42.74%,,
5,ACAPULCO DE JUAREZ,225,C2,33,72,70,17,10,8,0,5,3,0,2,,4,,,,,0,8,232,503,46.12%,,
5,ACAPULCO DE JUAREZ,226,B,56,78,0,0,12,29,5,11,2,4,2,,122,,,,,0,0,321,737,43.55%,,
5,ACAPULCO DE JUAREZ,226,C1,56,75,121,0,0,31,7,12,2,3,5,,0,,,,,0,17,329,737,44.64%,,
5,ACAPULCO DE JUAREZ,227,B,46,52,66,4,5,20,1,5,1,8,3,,4,,,,,0,20,235,485,48.45%,,
5,ACAPULCO DE JUAREZ,227,C1,41,50,81,0,9,21,2,3,1,7,4,,6,,,,,0,9,234,484,48.35%,,
5,ACAPULCO DE JUAREZ,228,B,55,67,84,3,15,14,3,6,2,2,4,,2,,,,,0,9,266,591,45.01%,,
5,ACAPULCO DE JUAREZ,228,C1,40,62,93,2,7,15,1,7,1,4,3,,5,,,,,1,10,251,591,42.47%,,
