ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,"Participación
Ciudadana"
4,ACAPULCO DE JUAREZ,30,C1,11,105,48,3,11,14,5,9,1,10,4,0,0,0,9,230,573,40.14%
4,ACAPULCO DE JUAREZ,30,C2,16,73,53,3,3,20,7,6,1,17,1,5,7,0,4,216,573,37.70%
4,ACAPULCO DE JUAREZ,31,B,18,124,83,0,0,18,6,6,3,13,4,0,0,0,14,289,727,39.75%
4,ACAPULCO DE JUAREZ,31,C1,24,89,68,7,13,16,5,11,3,7,6,3,3,0,12,267,727,36.73%
4,ACAPULCO DE JUAREZ,31,C2,23,94,68,10,13,25,5,17,3,10,2,1,5,0,17,293,727,40.30%
4,ACAPULCO DE JUAREZ,31,C3,31,100,70,6,7,17,6,7,1,7,5,6,3,1,10,277,726,38.15%
4,ACAPULCO DE JUAREZ,31,C4,11,104,86,3,14,26,4,8,4,7,6,4,1,0,19,297,726,40.91%
4,ACAPULCO DE JUAREZ,32,B,13,87,54,5,14,31,5,16,0,8,6,3,1,0,0,243,563,43.16%
4,ACAPULCO DE JUAREZ,32,C1,18,70,54,2,16,29,8,17,2,11,0,4,0,0,8,239,563,42.45%
4,ACAPULCO DE JUAREZ,33,B,17,67,92,10,13,20,19,16,4,10,1,1,3,0,18,291,607,47.94%
4,ACAPULCO DE JUAREZ,33,C1,14,64,105,7,13,28,9,9,6,12,6,2,0,0,18,293,606,48.35%
4,ACAPULCO DE JUAREZ,33,C2,20,66,64,6,5,37,9,16,8,5,6,1,4,0,22,269,606,44.39%
4,ACAPULCO DE JUAREZ,34,B,11,69,40,8,14,45,6,9,0,7,3,0,2,0,17,231,550,42.00%
4,ACAPULCO DE JUAREZ,34,C1,16,65,50,4,9,39,3,21,1,14,1,1,1,0,17,242,550,44.00%
4,ACAPULCO DE JUAREZ,35,B,27,58,50,5,7,33,7,8,4,10,1,2,1,0,17,230,479,48.02%
4,ACAPULCO DE JUAREZ,35,C1,16,44,59,7,11,26,1,9,4,9,4,0,1,0,13,204,478,42.68%
4,ACAPULCO DE JUAREZ,36,B,23,48,65,4,3,25,11,11,2,14,3,0,0,0,22,231,562,41.10%
4,ACAPULCO DE JUAREZ,36,C1,25,49,61,3,8,11,13,8,0,5,3,1,4,0,9,200,562,35.59%
4,ACAPULCO DE JUAREZ,36,C2,18,68,65,4,7,14,10,10,1,4,6,0,0,2,12,221,562,39.32%
4,ACAPULCO DE JUAREZ,37,B,18,65,70,10,6,34,4,14,2,19,6,1,2,0,23,274,671,40.83%
4,ACAPULCO DE JUAREZ,37,C1,16,77,63,2,8,17,10,31,4,16,6,2,0,0,31,283,670,42.24%
4,ACAPULCO DE JUAREZ,38,B,34,79,42,7,5,21,25,21,8,13,6,0,3,0,18,282,642,43.93%
4,ACAPULCO DE JUAREZ,38,C1,24,107,62,0,0,18,15,10,6,24,5,0,0,0,17,288,642,44.86%
4,ACAPULCO DE JUAREZ,38,C2,19,87,54,10,11,16,26,13,4,7,5,0,3,0,24,279,642,43.46%
