ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,25,B,1,0,B,11,87,22,7,45,9,12,223,9,0,3,0,23,3,,,,,,,,0,0,0,0,2,5,,,461,1,16,478,637,Acta casilla,,,
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,25,C,1,0,C01,8,91,35,4,40,9,9,218,7,3,1,1,20,0,,,,,,,,0,1,1,0,2,2,,,452,0,8,460,636,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,B,1,0,B,13,56,21,0,44,6,2,186,7,1,2,2,15,0,,,,,,,,1,1,0,1,6,2,,,366,0,4,370,603,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,C,1,0,C01,9,42,21,7,40,6,6,214,8,2,2,1,27,0,,,,,,,,0,0,0,0,0,4,,,389,0,14,403,603,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,B,1,0,B,8,43,13,6,35,13,3,150,18,0,1,0,17,0,,,,,,,,0,0,0,0,1,2,,,310,1,15,326,592,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C,1,0,C01,9,48,12,10,34,12,0,139,6,0,2,2,22,2,,,,,,,,1,1,0,0,0,6,,,306,0,11,317,592,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C,2,0,C02,12,45,17,5,34,6,3,150,12,2,3,2,24,1,,,,,,,,0,0,0,1,3,6,,,326,0,16,342,592,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,B,1,0,B,8,81,9,1,36,7,3,142,10,3,3,3,10,0,,,,,,,,0,0,0,0,1,5,,,322,0,23,345,615,Acta casilla,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,C,1,0,C01,4,46,14,4,35,14,3,149,2,0,2,4,27,2,,,,,,,,1,0,0,0,2,1,,,310,0,27,337,615,Grupo de recuento,,,
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,B,1,0,B,5,38,10,3,44,5,2,161,8,4,3,3,16,0,,,,,,,,0,0,1,0,0,0,,,303,0,9,312,565,Acta casilla,,,
